epoch	training_loss	training_acc	validation_loss	validation_acc
0	2.1398	0.1775	2.1176	0.1986
1	2.0757	0.2016	2.0818	0.1999
2	2.0342	0.2190	2.0388	0.2321
3	1.9848	0.2471	1.9848	0.2426
4	1.9132	0.2816	1.9647	0.2791
5	1.8513	0.3143	1.8520	0.3156
6	1.8152	0.3313	1.8224	0.3298
7	1.7787	0.3460	1.8107	0.3403
8	1.7519	0.3587	1.7548	0.3639
9	1.7462	0.3565	1.7567	0.3657
