epoch	training_loss	training_acc	validation_loss	validation_acc
0	2.1417	0.1705	2.0762	0.1993
1	2.0618	0.2207	2.0186	0.2543
2	1.9971	0.2547	2.0020	0.2259
3	1.9777	0.2663	1.9499	0.2692
4	1.9384	0.2779	1.9230	0.2748
5	1.9074	0.3002	1.8729	0.3100
6	1.8595	0.3093	1.8159	0.3292
7	1.8359	0.3211	1.7924	0.3292
8	1.7846	0.3491	1.7627	0.3527
9	1.7661	0.3468	1.8109	0.3416
10	1.7558	0.3491	1.7843	0.3379
11	1.7268	0.3620	1.7224	0.3533
12	1.7158	0.3743	1.7082	0.3861
