epoch	training_loss	training_acc	validation_loss	validation_acc
0	2.1336	0.1786	2.1019	0.2141
1	2.0701	0.2063	2.0445	0.2135
2	2.0087	0.2468	1.9730	0.2655
3	1.9473	0.2714	1.9365	0.2704
4	1.8603	0.3070	1.8782	0.3045
5	1.8153	0.3332	1.8118	0.3317
6	1.7746	0.3500	1.7821	0.3335
7	1.7623	0.3482	1.7575	0.3484
8	1.7344	0.3617	1.7462	0.3601
9	1.7172	0.3646	1.7871	0.3502
10	1.7028	0.3733	1.7328	0.3676
11	1.6882	0.3830	1.7396	0.3509
12	1.6782	0.3824	1.7025	0.3762
13	1.6754	0.3853	1.7003	0.3595
14	1.6645	0.3926	1.6776	0.3855
15	1.6341	0.4028	1.7173	0.3806
