epoch	training_loss	training_acc	validation_loss	validation_acc
0	2.1269	0.1826	2.0816	0.2215
1	2.0612	0.2146	2.0512	0.2141
2	2.0352	0.2275	2.0261	0.2246
3	1.9750	0.2649	1.9455	0.2778
4	1.9172	0.2871	1.9103	0.2989
5	1.8770	0.3013	1.8900	0.3020
6	1.8573	0.3146	1.9289	0.2970
7	1.8146	0.3338	1.8610	0.3187
8	1.7800	0.3463	1.8096	0.3403
9	1.7559	0.3479	1.8321	0.3020
10	1.7448	0.3528	1.7706	0.3577
11	1.7321	0.3561	1.7613	0.3614
12	1.7116	0.3644	1.7704	0.3391
13	1.6967	0.3739	1.7211	0.3626
14	1.6949	0.3791	1.7365	0.3564
